molecule_chembl_id,assay_chembl_id,activity_id,canonical_smiles,assay_description,assay_type,assay_organism,assay_cell_type,assay_tissue,cell_chembl_id,standard_type,standard_value,standard_units,standard_relation,activity_comment,pchembl_value,bao_endpoint,target_chembl_id,target_pref_name,target_type,target_organism,target_components,target_gene_symbols,document_chembl_id,document_journal,document_year,document_title,document_doi,document_pubmed_id,source_id,source_description,source_release,source_url,standard_value_num,pchembl_value_num,standard_units_norm,relation_preserved,endpoint_class,standard_value_nM,standard_value_M,p_activity_bound,p_activity_relation,censoring_type,p_ic50_ki,p_ic50_ki_relation,is_percent_inhibition,pseudo_ic50_method,smiles_missing,smiles_is_valid,smiles_validation_method,priority_score,standard_value_num_median,standard_value_nM_median,standard_value_M_median,p_activity_bound_median,p_ic50_ki_median,pchembl_value_num_median,n_selected_measurements,n_total_measurements_in_group
CHEMBL111612,CHEMBL4880305,23319497,CCCCN(CCCC)C(=O)CN1C[C@H](c2cc(OC)c3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1CC(C)(C)CCC,K+ channel (volt-dependent) CEREP ligand profiling,B,,,,,Inhibition,10.0,%,<,Not Active,,BAO_0000201,CHEMBL2362996,Voltage-gated potassium channel,PROTEIN FAMILY,Homo sapiens,O43525 | Potassium voltage-gated channel subfamily KQT member 3; O43526 | Potassium voltage-gated channel subfamily KQT member 2; O95259 | Voltage-gated delayed rectifier potassium channel KCNH1; P16389 | Potassium voltage-gated channel subfamily A member 2; P17658 | Potassium voltage-gated channel subfamily A member 6; P22001 | Potassium voltage-gated channel subfamily A member 3; P22459 | Potassium voltage-gated channel subfamily A member 4; P22460 | Potassium voltage-gated channel subfamily A member 5; P48547 | Voltage-gated potassium channel KCNC1; P51787 | Potassium voltage-gated channel subfamily KQT member 1; P56696 | Potassium voltage-gated channel subfamily KQT member 4; Q03721 | Voltage-gated potassium channel KCNC4; Q09470 | Potassium voltage-gated channel subfamily A member 1; Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2; Q14003 | Voltage-gated potassium channel KCNC3; Q14721 | Potassium voltage-gated channel subfamily B member 1; Q16322 | Potassium voltage-gated channel subfamily A member 10; Q6PIU1 | Potassium voltage-gated channel subfamily V member 1; Q8NCM2 | Voltage-gated delayed rectifier potassium channel KCNH5; Q8TAE7 | Voltage-gated potassium channel regulatory subunit KCNG3; Q8TDN1 | Voltage-gated potassium channel regulatory subunit KCNG4; Q8TDN2 | Potassium voltage-gated channel subfamily V member 2; Q92953 | Potassium voltage-gated channel subfamily B member 2; Q96KK3 | Delayed-rectifier potassium channel regulatory subunit KCNS1; Q96L42 | Voltage-gated delayed rectifier potassium channel KCNH8; Q96PR1 | Voltage-gated potassium channel KCNC2; Q96RP8 | Potassium voltage-gated channel subfamily A member 7; Q9BQ31 | Delayed-rectifier potassium channel regulatory subunit KCNS3; Q9H252 | Voltage-gated inwardly rectifying potassium channel KCNH6; Q9H3M0 | Voltage-gated potassium channel regulatory subunit KCNF1; Q9NR82 | Potassium voltage-gated channel subfamily KQT member 5; Q9NS40 | Voltage-gated inwardly rectifying potassium channel KCNH7; Q9NSA2 | A-type voltage-gated potassium channel KCND1; Q9NZV8 | A-type voltage-gated potassium channel KCND2; Q9UIX4 | Voltage-gated potassium channel regulatory subunit KCNG1; Q9UJ96 | Voltage-gated potassium channel regulatory subunit KCNG2; Q9UK17 | A-type voltage-gated potassium channel KCND3; Q9ULD8 | Voltage-gated inwardly rectifying potassium channel KCNH3; Q9ULS6 | Delayed-rectifier potassium channel regulatory subunit KCNS2; Q9UQ05 | Voltage-gated delayed rectifier potassium channel KCNH4,BEC1; BEC2; DRK1; EAG1; EAG1 GN; EAG2; ELK1; ELK2; ELK3; ERG; ERG-1; ERG-2; ERG-3; ERG1; ERG2; ERG3; H-ERG; HERG; HGK5; HLK3; HPCN1; HPCN2; HPCN3; KCNA1; KCNA10; KCNA2; KCNA3; KCNA4; KCNA4L; KCNA5; KCNA6; KCNA7; KCNA9; KCNA9 GN; KCNB1; KCNB2; KCNC1; KCNC2; KCNC3; KCNC4; KCND1; KCND2; KCND3; KCNF1; KCNF2; KCNG1; KCNG2; KCNG3; KCNG4; KCNH1; KCNH2; KCNH3; KCNH4; KCNH5; KCNH6; KCNH7; KCNH8; KCNQ1; KCNQ2; KCNQ3; KCNQ4; KCNQ5; KCNS1; KCNS2; KCNS3; KCNV1; KCNV2; KIAA1044; KIAA1144; KIAA1282; KSHIIIC; KSHIIID; KVLQT1; NGK1; NGK2; Synonyms=C1orf30; Synonyms=EAG; Synonyms=EAG2; Synonyms=ERG; Synonyms=KCNA8; Synonyms=KCNF2,CHEMBL4507258,,2021,Data for DCP probe ABT-546,10.6019/CHEMBL4507258,,54,SGC Frankfurt - Donated Chemical Probes,,https://www.sgc-ffm.uni-frankfurt.de/#!donateview,10.0,,%,<,percent_inhibition,,,,>,left_censored_upper_bound,,,True,not_computed_no_curve_data,False,True,regex_fallback_no_rdkit,0,10.0,,,,,,1,1
CHEMBL112265,CHEMBL859701,1653919,NC(=O)C1CCCc2c1[nH]c1ccccc21,Percentage inhibitory activity against hERG potassium channel transfected in CHO cells at 10uM,B,Homo sapiens,CHO,,CHEMBL3308072,Inhibition,0.0,%,=,,,BAO_0000201,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1140425,J Med Chem,2005,Discovery of indoles as potent and selective inhibitors of the deacetylase SIRT1.,10.1021/jm050522v,16335928.0,1,Scientific Literature,,,0.0,,%,=,percent_inhibition,,,,=,uncensored_or_approx,,,True,not_computed_no_curve_data,False,True,regex_fallback_no_rdkit,6,0.0,,,,,,1,1
CHEMBL115600,CHEMBL859701,1653906,Cc1ccc2[nH]c3c(c2c1)CCCC3C(N)=O,Percentage inhibitory activity against hERG potassium channel transfected in CHO cells at 10uM,B,Homo sapiens,CHO,,CHEMBL3308072,Inhibition,0.0,%,=,,,BAO_0000201,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1140425,J Med Chem,2005,Discovery of indoles as potent and selective inhibitors of the deacetylase SIRT1.,10.1021/jm050522v,16335928.0,1,Scientific Literature,,,0.0,,%,=,percent_inhibition,,,,=,uncensored_or_approx,,,True,not_computed_no_curve_data,False,True,regex_fallback_no_rdkit,6,0.0,,,,,,1,1
CHEMBL1162962,CHEMBL886671,2023210,O=S(=O)(c1ccccc1)c1ccc(/C=C/c2ccc(F)cc2F)nc1,Displacement of [3H]dofetilide from hERG expressed in HEK cells at 10 uM,B,Homo sapiens,HEK293,,CHEMBL3307715,Activity,27.0,%,=,,,BAO_0001103,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1139157,Bioorg Med Chem Lett,2007,"2,5-Disubstituted pyridines: the discovery of a novel series of 5-HT2A ligands.",10.1016/j.bmcl.2007.01.098,17314044.0,1,Scientific Literature,,,27.0,,%,=,percent_inhibition,,,,=,uncensored_or_approx,,,True,not_computed_no_curve_data,False,True,regex_fallback_no_rdkit,6,27.0,,,,,,1,1
CHEMBL124306,CHEMBL687507,601108,CN1C(=O)[C@H](NC(=O)Cc2ccccc2)N=C(c2ccccc2)c2ccccc21,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV at 1000 nM,F,Cavia porcellus,,,,Inhibition,31.0,%,=,,,BAO_0000201,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1130298,J Med Chem,1997,"Class III antiarrhythmic activity in vivo by selective blockade of the slowly activating cardiac delayed rectifier potassium current IKs by (R)-2-(2,4-trifluoromethyl)-N-[2-oxo-5-phenyl-1-(2,2,2-trifluoroethyl)- 2, 3-dihydro-1H-benzo[e][1,4]diazepin-3-yl]acetamide.",10.1021/jm970517u,9397166.0,1,Scientific Literature,,,31.0,,%,=,percent_inhibition,,,,=,uncensored_or_approx,,,True,not_computed_no_curve_data,False,True,regex_fallback_no_rdkit,2,31.0,,,,,,1,1
CHEMBL124993,CHEMBL687507,621064,CN1C(=O)[C@H](NC(=O)CCc2ccccc2)N=C(c2ccccc2)c2ccccc21,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV at 1000 nM,F,Cavia porcellus,,,,Inhibition,32.0,%,=,,,BAO_0000201,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1130298,J Med Chem,1997,"Class III antiarrhythmic activity in vivo by selective blockade of the slowly activating cardiac delayed rectifier potassium current IKs by (R)-2-(2,4-trifluoromethyl)-N-[2-oxo-5-phenyl-1-(2,2,2-trifluoroethyl)- 2, 3-dihydro-1H-benzo[e][1,4]diazepin-3-yl]acetamide.",10.1021/jm970517u,9397166.0,1,Scientific Literature,,,32.0,,%,=,percent_inhibition,,,,=,uncensored_or_approx,,,True,not_computed_no_curve_data,False,True,regex_fallback_no_rdkit,2,32.0,,,,,,1,1
CHEMBL127423,CHEMBL687507,622373,CN1C(=O)[C@H](NC(=O)c2cc(Cl)cc(Cl)c2)N=C(c2ccccc2)c2ccccc21,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV at 1000 nM,F,Cavia porcellus,,,,Inhibition,17.0,%,=,,,BAO_0000201,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1130298,J Med Chem,1997,"Class III antiarrhythmic activity in vivo by selective blockade of the slowly activating cardiac delayed rectifier potassium current IKs by (R)-2-(2,4-trifluoromethyl)-N-[2-oxo-5-phenyl-1-(2,2,2-trifluoroethyl)- 2, 3-dihydro-1H-benzo[e][1,4]diazepin-3-yl]acetamide.",10.1021/jm970517u,9397166.0,1,Scientific Literature,,,17.0,,%,=,percent_inhibition,,,,=,uncensored_or_approx,,,True,not_computed_no_curve_data,False,True,regex_fallback_no_rdkit,2,17.0,,,,,,1,1
CHEMBL127661,CHEMBL686881,630120,O=C(N[C@@H]1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O)c1cc(Cl)cc(Cl)c1,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV at 100 nM,F,Cavia porcellus,,,,Inhibition,25.0,%,=,,,BAO_0000201,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1130298,J Med Chem,1997,"Class III antiarrhythmic activity in vivo by selective blockade of the slowly activating cardiac delayed rectifier potassium current IKs by (R)-2-(2,4-trifluoromethyl)-N-[2-oxo-5-phenyl-1-(2,2,2-trifluoroethyl)- 2, 3-dihydro-1H-benzo[e][1,4]diazepin-3-yl]acetamide.",10.1021/jm970517u,9397166.0,1,Scientific Literature,,,25.0,,%,=,percent_inhibition,,,,=,uncensored_or_approx,,,True,not_computed_no_curve_data,False,True,regex_fallback_no_rdkit,2,25.0,,,,,,1,1
CHEMBL128031,CHEMBL687508,617534,CN1C(=O)[C@H](NC(=O)c2ccccc2)N=C(c2ccccc2)c2ccccc21,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV at 1000 nM,F,Cavia porcellus,,,,Inhibition,23.0,%,=,,,BAO_0000201,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1130298,J Med Chem,1997,"Class III antiarrhythmic activity in vivo by selective blockade of the slowly activating cardiac delayed rectifier potassium current IKs by (R)-2-(2,4-trifluoromethyl)-N-[2-oxo-5-phenyl-1-(2,2,2-trifluoroethyl)- 2, 3-dihydro-1H-benzo[e][1,4]diazepin-3-yl]acetamide.",10.1021/jm970517u,9397166.0,1,Scientific Literature,,,23.0,,%,=,percent_inhibition,,,,=,uncensored_or_approx,,,True,not_computed_no_curve_data,False,True,regex_fallback_no_rdkit,2,23.0,,,,,,1,1
CHEMBL148159,CHEMBL768688,894282,O=C(NCc1ccccc1-c1ccccc1C(=O)NCCc1ccccn1)OCc1ccccc1,Inhibition of human Potassium channel HERG expressed in Xenopus oocytes at 10 uM,B,Homo sapiens,Oocyte,,CHEMBL3308859,Inhibition,7.0,%,=,,,BAO_0000201,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1145963,J Med Chem,2003,"Identification, synthesis, and activity of novel blockers of the voltage-gated potassium channel Kv1.5.",10.1021/jm0210461,12570371.0,1,Scientific Literature,,,7.0,,%,=,percent_inhibition,,,,=,uncensored_or_approx,,,True,not_computed_no_curve_data,False,True,regex_fallback_no_rdkit,6,7.0,,,,,,1,1
