molecule_chembl_id,assay_chembl_id,activity_id,canonical_smiles,assay_description,assay_type,assay_organism,assay_cell_type,assay_tissue,cell_chembl_id,standard_type,standard_value,standard_units,standard_relation,activity_comment,pchembl_value,bao_endpoint,target_chembl_id,target_pref_name,target_type,target_organism,target_components,target_gene_symbols,document_chembl_id,document_journal,document_year,document_title,document_doi,document_pubmed_id,source_id,source_description,source_release,source_url,standard_value_num,pchembl_value_num,standard_units_norm,relation_preserved,endpoint_class,standard_value_nM,standard_value_M,p_activity_bound,p_activity_relation,censoring_type,p_ic50_ki,p_ic50_ki_relation,is_percent_inhibition,test_concentration_M,test_concentration_unit,test_concentration_raw_value,test_concentration_method,test_concentration_source,percent_inhibition_value,pseudo_ic50_M_n1,pseudo_pic50_n1,hill_assumed,p_ic50_bound_value,p_ic50_bound_relation,pseudo_ic50_method,p_ic50_bound_method,p_ic50_modeling,p_ic50_modeling_relation,p_ic50_modeling_method,smiles_missing,smiles_is_valid,smiles_validation_method,priority_has_modeled_pic50,priority_score,standard_value_num_median,standard_value_nM_median,standard_value_M_median,p_activity_bound_median,p_ic50_ki_median,pchembl_value_num_median,test_concentration_M_median,test_concentration_raw_value_median,percent_inhibition_value_median,pseudo_ic50_M_n1_median,pseudo_pic50_n1_median,p_ic50_bound_value_median,p_ic50_modeling_median,hill_assumed_median,n_selected_measurements,n_total_measurements_in_group
CHEMBL1000,CHEMBL5291828,25117261,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,"Compound was evaluated for inhibition of human KCNH2 in an in vitro assay with cellular components measured by membrane filtration, radioactivity method",F,,,,,AC50,30000.0,nM,>,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")",,BAO_0000186,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL5291721,Nat Commun,2023,A preclinical secondary pharmacology resource illuminates target-adverse drug reaction associations of marketed drugs.,10.1038/s41467-023-40064-9,37468498.0,1,Scientific Literature,,,30000.0,,nm,>,other_concentration,30000.0,3e-05,4.522878745280337,<,right_censored_lower_bound,,,False,,,,,,,,,,,,,,,,,False,True,regex_fallback_no_rdkit,0,1,30000.0,30000.0,3e-05,4.522878745280337,,,,,,,,,,,1,1
CHEMBL1000,CHEMBL766814,1050644,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Inhibition of human Potassium channel HERG expressed in mammalian cells,B,Homo sapiens,,,,IC50,30199.52,nM,=,,4.52,BAO_0000190,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1136167,Bioorg Med Chem Lett,2003,Prediction of hERG potassium channel affinity by traditional and hologram qSAR methods.,10.1016/s0960-894x(03)00492-x,12873512.0,1,Scientific Literature,,,30199.52,4.52,nm,=,ic50_ki,30199.52,3.0199520000000003e-05,4.519999959791458,=,uncensored_or_approx,4.519999959791458,=,False,,,,,,,,,,,,,,4.519999959791458,=,measured_ic50_or_ki,False,True,regex_fallback_no_rdkit,1,16,30199.52,30199.52,3.0199520000000003e-05,4.519999959791458,4.519999959791458,4.52,,,,,,,4.519999959791458,,1,1
CHEMBL1000,CHEMBL827807,1448466,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Inhibitory concentration against IKr potassium channel,B,,,,,IC50,108000.0,nM,=,,,BAO_0000190,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1137856,Bioorg Med Chem Lett,2004,The pharmacophore hypotheses of I(Kr) potassium channel blockers: novel class III antiarrhythmic agents.,10.1016/j.bmcl.2004.06.070,15324906.0,1,Scientific Literature,,,108000.0,,nm,=,ic50_ki,108000.0,0.00010800000000000001,3.96657624451305,=,uncensored_or_approx,3.96657624451305,=,False,,,,,,,,,,,,,,3.96657624451305,=,measured_ic50_or_ki,False,True,regex_fallback_no_rdkit,1,12,108000.0,108000.0,0.00010800000000000001,3.96657624451305,3.96657624451305,,,,,,,,3.96657624451305,,1,1
CHEMBL1000,CHEMBL829152,1523839,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Inhibitory concentration against potassium channel HERG,B,,,,,IC50,30199.52,nM,=,,4.52,BAO_0000190,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1139598,Bioorg Med Chem Lett,2005,A discriminant model constructed by the support vector machine method for HERG potassium channel inhibitors.,10.1016/j.bmcl.2005.03.080,15911273.0,1,Scientific Literature,,,30199.52,4.52,nm,=,ic50_ki,30199.52,3.0199520000000003e-05,4.519999959791458,=,uncensored_or_approx,4.519999959791458,=,False,,,,,,,,,,,,,,4.519999959791458,=,measured_ic50_or_ki,False,True,regex_fallback_no_rdkit,1,12,30199.52,30199.52,3.0199520000000003e-05,4.519999959791458,4.519999959791458,4.52,,,,,,,4.519999959791458,,1,1
CHEMBL1000,CHEMBL907269,1807023,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Inhibition of human ERG potassium channel in HEK293 cells by patch clamp assay,B,Homo sapiens,HEK293,,CHEMBL3307715,IC50,30000.0,nM,>,,,BAO_0000190,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1139687,Bioorg Med Chem Lett,2006,Inhibitory effect of carboxylic acid group on hERG binding.,10.1016/j.bmcl.2006.08.039,16931010.0,1,Scientific Literature,,,30000.0,,nm,>,ic50_ki,30000.0,3e-05,4.522878745280337,<,right_censored_lower_bound,4.522878745280337,<,False,,,,,,,,,,,,,,4.522878745280337,<,measured_ic50_or_ki,False,True,regex_fallback_no_rdkit,1,14,30000.0,30000.0,3e-05,4.522878745280337,4.522878745280337,,,,,,,,4.522878745280337,,1,1
CHEMBL100415,CHEMBL841905,751780,CCCCN(Cc1cncn1Cc1ccc(C#N)cc1)[C@H]1CCN(Cc2ccccc2)C1=O,Inhibition of [35S]MK-499 binding to human ERG potassium channel stably expressed in HEK293 cells,B,Homo sapiens,HEK293,,CHEMBL3307715,IP,190.0,nM,=,,,BAO_0000179,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1134579,J Med Chem,2001,"Design and biological activity of (S)-4-(5-([1-(3-chlorobenzyl)-2-oxopyrrolidin-3-ylamino]methyl)imidazol-1-ylmethyl)benzonitrile, a 3-aminopyrrolidinone farnesyltransferase inhibitor with excellent cell potency.",10.1021/jm010156p,11520202.0,1,Scientific Literature,,,190.0,,nm,=,other_concentration,190.0,1.9e-07,6.721246399047171,=,uncensored_or_approx,,,False,,,,,,,,,,,,,,,,,False,True,regex_fallback_no_rdkit,0,7,190.0,190.0,1.9e-07,6.721246399047171,,,,,,,,,,,1,1
CHEMBL100566,CHEMBL841905,718667,N#Cc1ccc(Cn2cncc2CN[C@H]2CCN(c3cccc4ncccc34)C2=O)cc1,Inhibition of [35S]MK-499 binding to human ERG potassium channel stably expressed in HEK293 cells,B,Homo sapiens,HEK293,,CHEMBL3307715,IP,8200.0,nM,=,,,BAO_0000179,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1134579,J Med Chem,2001,"Design and biological activity of (S)-4-(5-([1-(3-chlorobenzyl)-2-oxopyrrolidin-3-ylamino]methyl)imidazol-1-ylmethyl)benzonitrile, a 3-aminopyrrolidinone farnesyltransferase inhibitor with excellent cell potency.",10.1021/jm010156p,11520202.0,1,Scientific Literature,,,8200.0,,nm,=,other_concentration,8200.0,8.200000000000001e-06,5.086186147616283,=,uncensored_or_approx,,,False,,,,,,,,,,,,,,,,,False,True,regex_fallback_no_rdkit,0,7,8200.0,8200.0,8.200000000000001e-06,5.086186147616283,,,,,,,,,,,1,1
CHEMBL100661,CHEMBL841905,726652,CC(C)(C)OC(=O)NCCCN(Cc1cncn1Cc1ccc(C#N)cc1)[C@H]1CCN(Cc2cccc(Cl)c2)C1=O,Inhibition of [35S]MK-499 binding to human ERG potassium channel stably expressed in HEK293 cells,B,Homo sapiens,HEK293,,CHEMBL3307715,IP,110.0,nM,=,,,BAO_0000179,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1134579,J Med Chem,2001,"Design and biological activity of (S)-4-(5-([1-(3-chlorobenzyl)-2-oxopyrrolidin-3-ylamino]methyl)imidazol-1-ylmethyl)benzonitrile, a 3-aminopyrrolidinone farnesyltransferase inhibitor with excellent cell potency.",10.1021/jm010156p,11520202.0,1,Scientific Literature,,,110.0,,nm,=,other_concentration,110.0,1.1e-07,6.958607314841775,=,uncensored_or_approx,,,False,,,,,,,,,,,,,,,,,False,True,regex_fallback_no_rdkit,0,7,110.0,110.0,1.1e-07,6.958607314841775,,,,,,,,,,,1,1
CHEMBL100798,CHEMBL841905,738961,N#Cc1ccc(Cn2cncc2CN(CCN2CCOCC2)[C@H]2CCN(Cc3cccc(Cl)c3)C2=O)cc1,Inhibition of [35S]MK-499 binding to human ERG potassium channel stably expressed in HEK293 cells,B,Homo sapiens,HEK293,,CHEMBL3307715,IP,190.0,nM,=,,,BAO_0000179,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1134579,J Med Chem,2001,"Design and biological activity of (S)-4-(5-([1-(3-chlorobenzyl)-2-oxopyrrolidin-3-ylamino]methyl)imidazol-1-ylmethyl)benzonitrile, a 3-aminopyrrolidinone farnesyltransferase inhibitor with excellent cell potency.",10.1021/jm010156p,11520202.0,1,Scientific Literature,,,190.0,,nm,=,other_concentration,190.0,1.9e-07,6.721246399047171,=,uncensored_or_approx,,,False,,,,,,,,,,,,,,,,,False,True,regex_fallback_no_rdkit,0,7,190.0,190.0,1.9e-07,6.721246399047171,,,,,,,,,,,1,1
CHEMBL1008,CHEMBL3430630,15257951,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,Inhibition of hERG K channel,F,,,,,IC50,33.0,nM,=,,7.48,BAO_0000190,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL3430321,Cardiovasc Res,2011,Simulation of multiple ion channel block provides improved early prediction of compounds' clinical torsadogenic risk.,10.1093/cvr/cvr044,21300721.0,1,Scientific Literature,,,33.0,7.48,nm,=,ic50_ki,33.0,3.3000000000000004e-08,7.481486060122112,=,uncensored_or_approx,7.481486060122112,=,False,,,,,,,,,,,,,,7.481486060122112,=,measured_ic50_or_ki,False,True,regex_fallback_no_rdkit,1,12,33.0,33.0,3.3000000000000004e-08,7.481486060122112,7.481486060122112,7.48,,,,,,,7.481486060122112,,1,1
CHEMBL1008,CHEMBL656604,320643,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,K+ channel blocking activity in COS-7 African green monkey kidney derived cells expressing HERG Kv11.1,F,Homo sapiens,COS-7,,CHEMBL3307648,IC50,550.0,nM,=,,6.26,BAO_0000190,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1135758,J Med Chem,2002,Toward a pharmacophore for drugs inducing the long QT syndrome: insights from a CoMFA study of HERG K(+) channel blockers.,10.1021/jm0208875,12190308.0,1,Scientific Literature,,,550.0,6.26,nm,=,ic50_ki,550.0,5.5e-07,6.259637310505756,=,uncensored_or_approx,6.259637310505756,=,False,,,,,,,,,,,,,,6.259637310505756,=,measured_ic50_or_ki,False,True,regex_fallback_no_rdkit,1,16,550.0,550.0,5.5e-07,6.259637310505756,6.259637310505756,6.26,,,,,,,6.259637310505756,,1,1
CHEMBL1008,CHEMBL766814,1031112,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,Inhibition of human Potassium channel HERG expressed in mammalian cells,B,Homo sapiens,,,,IC50,549.54,nM,=,,6.26,BAO_0000190,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1136167,Bioorg Med Chem Lett,2003,Prediction of hERG potassium channel affinity by traditional and hologram qSAR methods.,10.1016/s0960-894x(03)00492-x,12873512.0,1,Scientific Literature,,,549.54,6.26,nm,=,ic50_ki,549.54,5.4954e-07,6.260000690598032,=,uncensored_or_approx,6.260000690598032,=,False,,,,,,,,,,,,,,6.260000690598032,=,measured_ic50_or_ki,False,True,regex_fallback_no_rdkit,1,16,549.54,549.54,5.4954e-07,6.260000690598032,6.260000690598032,6.26,,,,,,,6.260000690598032,,1,1
