activity_id,molecule_chembl_id,canonical_smiles,assay_chembl_id,assay_description,assay_type,assay_organism,assay_cell_type,assay_tissue,cell_chembl_id,standard_type,standard_value,standard_units,standard_relation,activity_comment,pchembl_value,bao_endpoint,target_chembl_id,target_pref_name,target_type,target_organism,target_components,target_gene_symbols,document_chembl_id,document_journal,document_year,document_title,document_doi,document_pubmed_id,source_id,source_description,source_release,source_url
2293424,CHEMBL443619,O=C1CN(/N=C2\CCOc3ccc(Cl)cc32)C(=O)N1CCCCN1CCCCC1,CHEMBL1020710,Inhibition of ERG in guinea pig ventricular myocytes assessed as blockade of rapid delayed rectifier potassium current by whole cell patch-clamp technique,B,Cavia porcellus,Ventricular myocyte,,CHEMBL3833221,IC50,6.2,nM,=,,8.21,BAO_0000190,CHEMBL5557,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Cavia porcellus,O08703 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; KCNH2,CHEMBL1137751,Bioorg Med Chem Lett,2009,"Molecular hybridization, synthesis, and biological evaluation of novel chroman I(Kr) and I(Ks) dual blockers.",10.1016/j.bmcl.2009.01.022,19185489,1,Scientific Literature,,
2293426,CHEMBL475725,CCCCOc1ccc2c(c1)/C(=N/N1CC(=O)N(CCCCN3CCCCC3)C1=O)CCO2,CHEMBL1020710,Inhibition of ERG in guinea pig ventricular myocytes assessed as blockade of rapid delayed rectifier potassium current by whole cell patch-clamp technique,B,Cavia porcellus,Ventricular myocyte,,CHEMBL3833221,IC50,17.4,nM,=,,7.76,BAO_0000190,CHEMBL5557,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Cavia porcellus,O08703 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; KCNH2,CHEMBL1137751,Bioorg Med Chem Lett,2009,"Molecular hybridization, synthesis, and biological evaluation of novel chroman I(Kr) and I(Ks) dual blockers.",10.1016/j.bmcl.2009.01.022,19185489,1,Scientific Literature,,
2293430,CHEMBL520069,CCCOc1ccc2c(c1)/C(=N/N1CC(=O)N(CCCN3CCN(C)CC3)C1=O)CCO2,CHEMBL1020710,Inhibition of ERG in guinea pig ventricular myocytes assessed as blockade of rapid delayed rectifier potassium current by whole cell patch-clamp technique,B,Cavia porcellus,Ventricular myocyte,,CHEMBL3833221,IC50,106.0,nM,=,,6.97,BAO_0000190,CHEMBL5557,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Cavia porcellus,O08703 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; KCNH2,CHEMBL1137751,Bioorg Med Chem Lett,2009,"Molecular hybridization, synthesis, and biological evaluation of novel chroman I(Kr) and I(Ks) dual blockers.",10.1016/j.bmcl.2009.01.022,19185489,1,Scientific Literature,,
2293431,CHEMBL475111,CCCCOc1ccc2c(c1)/C(=N/N1CC(=O)N(CCCCN3CCN(C)CC3)C1=O)CCO2,CHEMBL1020710,Inhibition of ERG in guinea pig ventricular myocytes assessed as blockade of rapid delayed rectifier potassium current by whole cell patch-clamp technique,B,Cavia porcellus,Ventricular myocyte,,CHEMBL3833221,IC50,180.0,nM,=,,6.75,BAO_0000190,CHEMBL5557,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Cavia porcellus,O08703 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; KCNH2,CHEMBL1137751,Bioorg Med Chem Lett,2009,"Molecular hybridization, synthesis, and biological evaluation of novel chroman I(Kr) and I(Ks) dual blockers.",10.1016/j.bmcl.2009.01.022,19185489,1,Scientific Literature,,
2293432,CHEMBL123558,CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,CHEMBL1020710,Inhibition of ERG in guinea pig ventricular myocytes assessed as blockade of rapid delayed rectifier potassium current by whole cell patch-clamp technique,B,Cavia porcellus,Ventricular myocyte,,CHEMBL3833221,IC50,180.0,nM,=,,6.75,BAO_0000190,CHEMBL5557,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Cavia porcellus,O08703 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; KCNH2,CHEMBL1137751,Bioorg Med Chem Lett,2009,"Molecular hybridization, synthesis, and biological evaluation of novel chroman I(Kr) and I(Ks) dual blockers.",10.1016/j.bmcl.2009.01.022,19185489,1,Scientific Literature,,
2293436,CHEMBL475724,CCCOc1ccc2c(c1)/C(=N/N1CC(=O)N(CCCCN3CCCCC3)C1=O)CCO2,CHEMBL1020710,Inhibition of ERG in guinea pig ventricular myocytes assessed as blockade of rapid delayed rectifier potassium current by whole cell patch-clamp technique,B,Cavia porcellus,Ventricular myocyte,,CHEMBL3833221,IC50,400.0,nM,=,,6.40,BAO_0000190,CHEMBL5557,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Cavia porcellus,O08703 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; KCNH2,CHEMBL1137751,Bioorg Med Chem Lett,2009,"Molecular hybridization, synthesis, and biological evaluation of novel chroman I(Kr) and I(Ks) dual blockers.",10.1016/j.bmcl.2009.01.022,19185489,1,Scientific Literature,,
2293437,CHEMBL474106,CN1CCN(CCCCN2C(=O)CN(/N=C3\CCOc4ccc(C(N)=O)cc43)C2=O)CC1,CHEMBL1020710,Inhibition of ERG in guinea pig ventricular myocytes assessed as blockade of rapid delayed rectifier potassium current by whole cell patch-clamp technique,B,Cavia porcellus,Ventricular myocyte,,CHEMBL3833221,IC50,450.0,nM,=,,6.35,BAO_0000190,CHEMBL5557,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Cavia porcellus,O08703 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; KCNH2,CHEMBL1137751,Bioorg Med Chem Lett,2009,"Molecular hybridization, synthesis, and biological evaluation of novel chroman I(Kr) and I(Ks) dual blockers.",10.1016/j.bmcl.2009.01.022,19185489,1,Scientific Literature,,
2293438,CHEMBL515449,CCOc1ccc2c(c1)/C(=N/N1CC(=O)N(CCCCN3CCCCC3)C1=O)CCO2,CHEMBL1020710,Inhibition of ERG in guinea pig ventricular myocytes assessed as blockade of rapid delayed rectifier potassium current by whole cell patch-clamp technique,B,Cavia porcellus,Ventricular myocyte,,CHEMBL3833221,IC50,450.0,nM,=,,6.35,BAO_0000190,CHEMBL5557,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Cavia porcellus,O08703 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; KCNH2,CHEMBL1137751,Bioorg Med Chem Lett,2009,"Molecular hybridization, synthesis, and biological evaluation of novel chroman I(Kr) and I(Ks) dual blockers.",10.1016/j.bmcl.2009.01.022,19185489,1,Scientific Literature,,
2293439,CHEMBL488372,COc1ccc2c(c1)/C(=N/N1CC(=O)N(CCCN3CCN(C)CC3)C1=O)CCO2,CHEMBL1020710,Inhibition of ERG in guinea pig ventricular myocytes assessed as blockade of rapid delayed rectifier potassium current by whole cell patch-clamp technique,B,Cavia porcellus,Ventricular myocyte,,CHEMBL3833221,IC50,540.0,nM,=,,6.27,BAO_0000190,CHEMBL5557,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Cavia porcellus,O08703 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; KCNH2,CHEMBL1137751,Bioorg Med Chem Lett,2009,"Molecular hybridization, synthesis, and biological evaluation of novel chroman I(Kr) and I(Ks) dual blockers.",10.1016/j.bmcl.2009.01.022,19185489,1,Scientific Literature,,
2293440,CHEMBL518889,Cc1ccc2c(c1)/C(=N/N1CC(=O)N(CCCN3CCN(C)CC3)C1=O)CCO2,CHEMBL1020710,Inhibition of ERG in guinea pig ventricular myocytes assessed as blockade of rapid delayed rectifier potassium current by whole cell patch-clamp technique,B,Cavia porcellus,Ventricular myocyte,,CHEMBL3833221,IC50,619.0,nM,=,,6.21,BAO_0000190,CHEMBL5557,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Cavia porcellus,O08703 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; KCNH2,CHEMBL1137751,Bioorg Med Chem Lett,2009,"Molecular hybridization, synthesis, and biological evaluation of novel chroman I(Kr) and I(Ks) dual blockers.",10.1016/j.bmcl.2009.01.022,19185489,1,Scientific Literature,,
2293442,CHEMBL475109,COc1ccc2c(c1)/C(=N/N1CC(=O)N(CCCCN3CCN(C)CC3)C1=O)CCO2,CHEMBL1020710,Inhibition of ERG in guinea pig ventricular myocytes assessed as blockade of rapid delayed rectifier potassium current by whole cell patch-clamp technique,B,Cavia porcellus,Ventricular myocyte,,CHEMBL3833221,IC50,1010.0,nM,=,,6.00,BAO_0000190,CHEMBL5557,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Cavia porcellus,O08703 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; KCNH2,CHEMBL1137751,Bioorg Med Chem Lett,2009,"Molecular hybridization, synthesis, and biological evaluation of novel chroman I(Kr) and I(Ks) dual blockers.",10.1016/j.bmcl.2009.01.022,19185489,1,Scientific Literature,,
